leg_group_id,network_id,from_area_id,to_area_id,from_timeframe_group_id,to_timeframe_group_id,fare_product_id,rule_priority
regulier,,,,regulier,,passage_simple_semaine,
regulier,,,,regulier_lendemain,,passage_simple_semaine,
regulier,,,,regulier,,passage_simple_semaine_child,
regulier,,,,regulier_lendemain,,passage_simple_semaine_child,
2dollars,,,,2dollars,,passage_simple_fds,
2dollars,,,,2dollars,,passage_simple_fds_child,
2dollars,,,,2dollars_lendemain,,passage_simple_fds,
2dollars,,,,2dollars_lendemain,,passage_simple_fds_child,
regulier,,,,,,4_passages,
regulier,,,,,,8_passages,
regulier,,,,,,12_passages,
regulier,,,,,,mensuel_regulier,
regulier,,,,,,mensuel_privilege,
regulier,,,,,,mensuel_etudiant,
regulier,,,,,,mensuel_aine,
regulier,,,,adobus,,mensuel_adobus,
regulier,,,,,,metropolitain_regulier,
regulier,,,,,,metropolitain_privilege,
regulier,,,,,,metropolitain_etudiant,
regulier,,,,,,metropolitain_aine,
metro,,,,,,20_metropolitain,
gratuite,,,,gratuite,,gratuite,
