route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
11,0,11,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/11,0091B3,FFFFFF
111,0,111,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/111,7E4082,FFFFFF
115,0,115,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/115,7E4082,FFFFFF
119,0,119,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/119,7E4082,FFFFFF
11A,0,11A,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/11A,0091B3,FFFFFF
125,0,125,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/125,7E4082,FFFFFF
126,0,126,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/126,7E4082,FFFFFF
127,0,127,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/127,7E4082,FFFFFF
129,0,129,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/129,7E4082,FFFFFF
13,0,13,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/13,4EA685,FFFFFF
131,0,131,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/131,7E4082,FFFFFF
135,0,135,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/135,7E4082,FFFFFF
136,0,136,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/136,7E4082,FFFFFF
137,0,137,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/137,7E4082,FFFFFF
138,0,138,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/138,7E4082,FFFFFF
139,0,139,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/139,7E4082,FFFFFF
15,0,15,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/15,0091B3,FFFFFF
155,0,155,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/155,7E4082,FFFFFF
156,0,156,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/156,7E4082,FFFFFF
158,0,158,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/158,7E4082,FFFFFF
22,0,22,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/22,0091B3,FFFFFF
221,0,221,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/221,7E4082,FFFFFF
222,0,222,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/222,7E4082,FFFFFF
225,0,225,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/225,7E4082,FFFFFF
229,0,229,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/229,7E4082,FFFFFF
23,0,23,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/23,0091B3,FFFFFF
231,0,231,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/231,7E4082,FFFFFF
232,0,232,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/232,7E4082,FFFFFF
235,0,235,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/235,7E4082,FFFFFF
23E,0,23E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/23E,FFA400,FFFFFF
24,0,24,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24,4EA685,FFFFFF
241,0,241,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/241,7E4082,FFFFFF
242,0,242,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/242,7E4082,FFFFFF
245,0,245,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/245,7E4082,FFFFFF
24E,0,24E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/24E,FFA400,FFFFFF
31,0,31,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/31,0091B3,FFFFFF
311,0,311,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/311,7E4082,FFFFFF
325,0,325,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/325,7E4082,FFFFFF
34,0,34,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34,0091B3,FFFFFF
345,0,345,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/345,7E4082,FFFFFF
34E,0,34E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/34E,FFA400,FFFFFF
35,0,35,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/35,0091B3,FFFFFF
351,0,351,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/351,7E4082,FFFFFF
355,0,355,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/355,7E4082,FFFFFF
36,0,36,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/36,0091B3,FFFFFF
36E,0,36E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/36E,FFA400,FFFFFF
37,0,37,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/37,0091B3,FFFFFF
375,0,375,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/375,7E4082,FFFFFF
37E,0,37E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/37E,FFA400,FFFFFF
38,0,38,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/38,0091B3,FFFFFF
381,0,381,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/381,7E4082,FFFFFF
385,0,385,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/385,7E4082,FFFFFF
38E,0,38E,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/38E,FFA400,FFFFFF
39,0,39,,,3,https://www.stlevis.ca/horaires-parcours/liste-des-parcours/39,4EA685,FFFFFF
