stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
110712,11-712,St-Louis / M.-d'Youville,,46.800240,-71.187320,,,,,1
130143,13-143,Saint-Georges / Proulx,,46.774727,-71.199710,,,,,
990142,99-142,École M.-Mallet - Déziel,,46.809770,-71.184755,,,,,
990143,99-143,École M.-Mallet - Déziel,,46.810112,-71.184566,,,,,
990144,99-144,École M.-Mallet - Déziel,,46.810307,-71.184460,,,,,
990145,99-145,École M.-Mallet - Déziel,,46.810455,-71.184379,,,,,
20620,,Station Nérée-Tremblay,,46.785897,-71.280547,,,,,1
120373,12-373,Collège de Lévis - Mgr-Gosselin,,46.811234,-71.180109,,,,,
10010,01-010,Terminus Lagueux,,46.671922,-71.340939,,,,,1
3131,3131,A.-Desjardins / O.-J.-Morin,,46.800120,-71.173182,,,,,1
650325,65-325,des Érables / Lemieux,,46.585690,-71.210326,,,,,
650315,65-315,des Érables / de Brébeuf,,46.584501,-71.208764,,,,,
650285,65-285,Marquette / des Ormeaux,,46.584920,-71.205380,,,,,
650275,65-275,Cartier / de Brébeuf,,46.585607,-71.206832,,,,,
650265,65-265,Cartier / Létourneau,,46.586780,-71.208480,,,,,
650255,65-255,Cartier - arrêt 65-0255,,46.588460,-71.206529,,,,,
650247,65-247,Cartier / Radisson,,46.590127,-71.204058,,,,,
650235,65-235,PRB St-Lambert-de-Lauzon,,46.591479,-71.205769,,,,,
650225,65-225,du Pont - arrêt 65-0225,,46.590535,-71.207153,,,,,
650215,65-215,des Érables / du Pont,,46.587687,-71.211746,,,,,
7258,7258,Plante / des Rivières,,46.716570,-71.299110,,,,,
220605,22-605,Plante / V.-Crêpes,,46.714974,-71.301440,,,,,
8430,8430,Station H.-Pelletier,,46.702473,-71.286598,,,,,
8426,8426,de la Chaudière / du G.Tronc,,46.699805,-71.284563,,,,,
8081,8081,de St-Denis / du Bourgeois,,46.688494,-71.289150,,,,,
8083,8083,Bibliothèque C.-Volumes,,46.687702,-71.292216,,,,,
8085,8085,de St-Denis / Lapointe,,46.688153,-71.294942,,,,,
8087,8087,de St-Denis / de l'Aiglon,,46.690610,-71.296614,,,,,
8089,8089,de St-Denis / des G.-Ducs,,46.692726,-71.298696,,,,,
8401,8401,des Hiboux / des Hirondelles,,46.693674,-71.298545,,,,,
8405,8405,des Hiboux / du Verdier,,46.695283,-71.295517,,,,,
8409,8409,des Hiboux / du Bourgeois,,46.695266,-71.293893,,,,,
8406,8406,des Hiboux / du Verdier,,46.695357,-71.295619,,,,,
8402,8402,des Hiboux / des Hirondelles,,46.693838,-71.298506,,,,,
8090,8090,de St-Denis / des G.-Ducs,,46.692820,-71.298992,,,,,
8088,8088,de St-Denis / des Colombes,,46.690678,-71.296934,,,,,
8086,8086,de St-Denis / Lapointe,,46.688134,-71.295176,,,,,
8084,8084,Bibliothèque C.-Volumes,,46.687471,-71.292646,,,,,
8082,8082,de St-Denis / du Bourgeois,,46.688420,-71.288939,,,,,
8080,8080,de St-Denis / P.-Roy,,46.689027,-71.285309,,,,,
8425,8425,Station de la Chaudière,,46.700002,-71.284598,,,,,
8429,8429,Station H.-Pelletier,,46.702586,-71.286982,,,,,
8438,8438,des Frênes / du Domaine,,46.705471,-71.291345,,,,,
650010,65-010,du Parc / des Éperviers,,46.567197,-71.253191,,,,,
650020,65-020,des Éperviers / du P.-Duc,,46.564349,-71.257378,,,,,
650030,65-030,des Éperviers - arrêt 65-0030,,46.562220,-71.260665,,,,,
650040,65-040,des Éperviers / du Grand-Duc,,46.560765,-71.263264,,,,,
650050,65-050,des Éperviers - arrêt 65-0050,,46.558447,-71.266604,,,,,
650060,65-060,des Éperviers / des Hirondelles,,46.557787,-71.269134,,,,,
650070,65-070,des Hirondelles / Iberville,,46.556789,-71.271104,,,,,
650080,65-080,Iberville / des Chouettes,,46.554956,-71.268811,,,,,
650090,65-090,Iberville / du Pont,,46.552306,-71.264921,,,,,
650100,65-100,du Pont / des Bruants,,46.554460,-71.262073,,,,,
650110,65-110,du Pont / des Bécassines,,46.556759,-71.258767,,,,,
650120,65-120,du Pont / des Bouvreuils,,46.558763,-71.255890,,,,,
650130,65-130,du Pont - arrêt 65-0130,,46.561669,-71.251722,,,,,
650140,65-140,du Pont / du Parc,,46.563716,-71.248759,,,,,
650150,65-150,du Pont / des Alouettes,,46.567109,-71.243745,,,,,
650160,65-160,du Pont / des Aigrettes,,46.569415,-71.240447,,,,,
650170,65-170,du Pont / St-Aimé,,46.574880,-71.232440,,,,,
650180,65-180,du Pont - arrêt 65-0180,,46.578999,-71.226541,,,,,
650190,65-190,Josée / Sylvain,,46.581399,-71.222341,,,,,
650200,65-200,Sylvain - arrêt 65-0200,,46.582210,-71.220370,,,,,
650210,65-210,Sylvain / Marie,,46.583781,-71.218027,,,,,
650220,65-220,Bellevue / du Pont,,46.585020,-71.216999,,,,,
650230,65-230,Église de Saint-Lambert,,46.586753,-71.211179,,,,,
650240,65-240,du Pont - arrêt 65-0240,,46.590550,-71.206892,,,,,
650250,65-250,PRB St-Lambert-de-Lauzon,,46.591259,-71.205840,,,,,
650270,65-270,Cartier - arrêt 65-0270,,46.588644,-71.206267,,,,,
650280,65-280,Cartier / Létourneau,,46.586619,-71.208475,,,,,
650290,65-290,Cartier / de Brébeuf,,46.585509,-71.207019,,,,,
650300,65-300,des Ormeaux / Marquette,,46.585000,-71.205469,,,,,
650320,65-320,Joliette / des Érables,,46.582870,-71.207493,,,,,
650430,65-430,Joliette / des Érables,,46.582941,-71.207169,,,,,
650440,65-440,des Érables / de Brébeuf,,46.584320,-71.208359,,,,,
650450,65-450,des Érables / Létourneau,,46.585618,-71.210072,,,,,
650460,65-460,Église de Saint-Lambert,,46.587152,-71.211377,,,,,
650470,65-470,des Érables / des Cèdres,,46.589740,-71.213196,,,,,
650480,65-480,des Érables - arrêt 65-0480,,46.591748,-71.215708,,,,,
650490,65-490,des Érables / des Saules,,46.592981,-71.217764,,,,,
650500,65-500,des Érables / des Chênes,,46.593946,-71.219340,,,,,
650510,65-510,des Érables - arrêt 65-0510,,46.595799,-71.222429,,,,,
650520,65-520,des Érables - arrêt 65-0520,,46.597569,-71.227660,,,,,
650530,65-530,des Érables - arrêt 65-0530,,46.599081,-71.233800,,,,,
650540,65-540,des Érables - arrêt 65-0540,,46.601641,-71.237641,,,,,
650550,65-550,des Érables / Hébert,,46.604467,-71.237999,,,,,
650560,65-560,des Érables / des Lilas,,46.607690,-71.238468,,,,,
650570,65-570,des Érables / des Pins,,46.613435,-71.236027,,,,,
650580,65-580,des Érables / Beauséjour,,46.622579,-71.229175,,,,,
650590,65-590,des Érables / des Îles Sud,,46.629672,-71.229747,,,,,
650600,65-600,des Érables / des Îles Nord,,46.632359,-71.229862,,,,,
650610,65-610,des Érables / du Repos,,46.634604,-71.231038,,,,,
650620,65-620,des Érables / Bouffard,,46.636350,-71.232207,,,,,
650650,65-650,St-Augustin - arrêt 65-0650,,46.645134,-71.238064,,,,,
650660,65-660,St-Augustin / Vieux Chemin,,46.647525,-71.240104,,,,,
650535,65-535,St-Augustin / Vieux Chemin,,46.647643,-71.240473,,,,,
650525,65-525,St-Augustin - arrêt 65-0525,,46.644564,-71.237847,,,,,
650630,65-630,des Érables / des Cerisiers,,46.638145,-71.233474,,,,,
