route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
T15,3,388323,Station Galeries Chagnon,,0,T15 -  1,65590_1472008_1472047,2
T15,3,388325,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,3,388326,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,3,388328,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,3,388329,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,3,388331,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,3,388332,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,3,388334,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,3,388335,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,3,388337,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,3,388338,Station Galeries Chagnon,,0,T15 -  2,65590_1472008_1472047,2
T15,3,388340,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,3,388341,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,3,388343,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,3,388344,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,3,388346,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,3,388347,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,3,388349,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,3,388350,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,3,388352,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T31,3,388353,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472346_1472391,2
T31,3,388354,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,3,388355,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,3,388356,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,3,388357,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,3,388358,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,3,388359,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,3,388360,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,3,388361,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,3,388362,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,3,388363,Sainte-Hélène-de-Breakeyville,,1,T31 -  2,65596_1472320_1472369,2
T15,2,388364,Station Galeries Chagnon,,0,T15 -  1,65590_1472008_1472047,2
T15,2,388366,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388367,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,2,388369,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388370,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,2,388372,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388373,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,2,388375,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388376,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,2,388378,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388379,Station Galeries Chagnon,,0,T15 -  1,65590_1472009_1472047,2
T15,2,388381,Pintendre,,1,T15 -  1,65591_1472048_1472087,2
T15,2,388382,Station Galeries Chagnon,,0,T15 -  2,65590_1472008_1472047,2
T15,2,388384,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,2,388385,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,2,388387,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,2,388388,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,2,388390,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,2,388391,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,2,388393,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T15,2,388394,Station Galeries Chagnon,,0,T15 -  2,65590_1472009_1472047,2
T15,2,388396,Pintendre,,1,T15 -  2,65591_1472048_1472087,2
T31,2,388397,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472346_1472391,2
T31,2,388398,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388399,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388400,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388401,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388402,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388403,Breakeyville / Station de la Concorde,,1,T31 -  1,65596_1472320_1472391,2
T31,2,388404,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,2,388405,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,2,388406,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,2,388407,Breakeyville / Station de la Concorde,,1,T31 -  2,65596_1472320_1472391,2
T31,2,388408,Sainte-Hélène-de-Breakeyville,,1,T31 -  2,65596_1472320_1472369,2
22,1,388410,Station de la Concorde,,0,221,65610_1472649_1472686,2
22,1,388411,Saint-Nicolas - Bernières,,1,221,65609_1472691_1472709,2
22,1,388412,Station de la Concorde,,0,221,65610_1472649_1472686,2
22,1,388413,Saint-Nicolas - Bernières,,1,221,65609_1472691_1472709,2
22,1,388414,Station de la Concorde,,0,221,65610_1472649_1472686,2
22,1,388415,Saint-Nicolas - Bernières,,1,221,65609_1472691_1472709,2
22,1,388416,Station de la Concorde,,0,221,65610_1472649_1472686,2
22,1,388417,Saint-Nicolas - Bernières,,1,221,65609_1472691_1472709,2
22,1,388418,Station de la Concorde,,0,221,65610_1472649_1472686,2
22,1,388421,Saint-Nicolas - Bernières,,1,222,65609_1472691_1472709,2
22,1,388422,Station de la Concorde,,0,222,65610_1472649_1472686,2
22,1,388423,Saint-Nicolas - Bernières,,1,222,65609_1472691_1472709,2
22,1,388424,Station de la Concorde,,0,222,65610_1472649_1472686,2
22,1,388425,Saint-Nicolas - Bernières,,1,222,65609_1472691_1472724,2
23,1,388428,Station de la Concorde,,0,231,64580_1472760_1472826,2
23,1,388429,Saint-Nicolas - Village (arrêts limités),,1,231,64583_1472932_1472957,2
23,1,388430,Station de la Concorde,,0,231,64580_1472760_1472826,2
23,1,388431,Saint-Nicolas - Village (arrêts limités),,1,231,64583_1472932_1472957,2
23,1,388432,Station de la Concorde,,0,231,64580_1472760_1472826,2
23,1,388435,Station de la Concorde,,0,232,64580_1472760_1472826,2
23,1,388437,Station de la Concorde,,0,232,64580_1472760_1472826,2
23,1,388438,Saint-Nicolas - Village (arrêts limités),,1,232,64583_1472932_1472957,2
23,1,388439,Station de la Concorde / ESLE,,0,232,64584_1472965_1473028,2
23,1,388442,Saint-Nicolas - Village (arrêts limités),,1,233,64583_1472932_1472957,2
23,1,388443,Station de la Concorde,,0,233,64580_1472760_1472826,2
23,1,388444,Saint-Nicolas - Village (arrêts limités),,1,233,64583_1472932_1472957,2
23,1,388445,Station de la Concorde,,0,233,64580_1472760_1472826,2
23,1,388448,Station de la Concorde,,0,234,64580_1472760_1472826,2
23,1,388449,Saint-Nicolas - Village (arrêts limités),,1,234,64583_1472932_1472957,2
23,1,388450,Station de la Concorde,,0,234,64580_1472760_1472826,2
23,1,388451,Saint-Nicolas - Village (arrêts limités),,1,234,64583_1472932_1472957,2
23,1,388452,Station de la Concorde,,0,234,64580_1472760_1472826,2
23,1,388453,Saint-Nicolas - Village,,1,234,64581_1474520_1474583,2
23,1,388456,Saint-Nicolas - Village (arrêts limités),,1,235,64583_1472932_1472957,2
23,1,388457,Station de la Concorde,,0,235,64580_1472760_1472826,2
23,1,388458,Saint-Nicolas - Village,,1,235,64581_1474520_1474576,2
23,1,388459,Station de la Concorde (arrêts limités),,0,235,64582_1472895_1472931,2
23,1,388460,Saint-Nicolas - Village,,1,235,64581_1474520_1474583,2
23,1,388462,Station de la Concorde (arrêts limités),,0,235,64582_1472895_1472931,2
23,1,388465,Station de la Concorde (arrêts limités),,0,236,64582_1472895_1472931,2
23,1,388466,Saint-Nicolas - Village,,1,236,64581_1474520_1474576,2
23,1,388467,Station de la Concorde (arrêts limités),,0,236,64582_1472895_1472931,2
23,1,388468,Saint-Nicolas - Village,,1,236,64581_1474520_1474576,2
23,1,388469,Station de la Concorde (arrêts limités),,0,236,64582_1472895_1472931,2
23,1,388472,Saint-Nicolas - Village,,1,237,64581_1474520_1474576,2
23,1,388473,Station de la Concorde (arrêts limités),,0,237,64582_1472895_1472931,2
23,1,388474,Saint-Nicolas - Village,,1,237,64581_1474520_1474576,2
23,1,388475,Station de la Concorde (arrêts limités),,0,237,64582_1472895_1472931,2
23,1,388478,Station de la Concorde (arrêts limités),,0,238,64582_1472895_1472931,2
23,1,388479,Saint-Nicolas - Village,,1,238,64581_1474520_1474576,2
23,1,388480,Station de la Concorde (arrêts limités),,0,238,64582_1472895_1472931,2
23,1,388481,Saint-Nicolas - Village,,1,238,64581_1474520_1474576,2
23,1,388482,Station de la Concorde (arrêts limités),,0,238,64582_1472895_1472931,2
23,1,388483,Saint-Nicolas - Village,,1,238,64581_1474520_1474583,2
24,1,388486,Saint-Rédempteur,,1,241,64529_1460359_1460382,2
24,1,388488,Saint-Rédempteur,,1,241,64529_1460359_1460382,2
24,1,388490,Saint-Rédempteur,,1,241,64529_1460359_1460382,2
24,1,388492,Saint-Rédempteur,,1,241,64529_1460359_1460382,2
24,1,388494,Saint-Rédempteur,,1,241,64529_1460359_1460382,2
EOQ,1,388497,Colline Parlementaire,,0,1001,64699_1464553_1464601,2
EOQ,1,388500,PRB des Rivières,,1,1002,64700_1464602_1464615,2
EOQ,1,388502,PRB des Rivières / Saint-Étienne-de-Lauzon,,1,1002,64700_1464602_1464650,2
EOQ,1,388505,PRB des Rivières / Saint-Étienne-de-Lauzon,,1,1003,64700_1464602_1464650,2
EOQ,1,388508,Colline Parlementaire,,0,1022,64699_1464553_1464601,2
22,1,388510,Station de la Concorde / ESLE,,0,1022,65611_1472725_1472759,2
24,1,388513,PRB des Rivières,,0,2422,64528_1460334_1460358,2
24,1,388515,PRB des Rivières,,0,2422,64528_1460334_1460358,2
24,1,388517,PRB des Rivières,,0,2422,64528_1460334_1460358,2
22,1,388519,Saint-Nicolas - Bernières,,1,2422,65609_1472691_1472709,2
65,1,388522,PRB des Rivières,,0,6510,64586_1464131_1464176,2
EOQ,1,388524,Colline Parlementaire,,0,6510,64699_1464553_1464601,2
65,1,388527,PRB des Rivières,,0,6522,64586_1464131_1464176,2
22,1,388529,Station de la Concorde,,0,6522,65610_1472649_1472686,2
22,1,388531,Station de la Concorde,,0,6522,65610_1472649_1472686,2
22,1,388534,Station de la Concorde,,0,22231,65610_1472611_1472686,2
23,1,388535,Saint-Nicolas - Village (arrêts limités),,1,22231,64583_1472932_1472964,2
22,1,388537,Station de la Concorde,,0,22231,65610_1472611_1472686,2
23,1,388538,Saint-Nicolas - Village (arrêts limités),,1,22231,64583_1472932_1472957,2
23,1,388539,Station de la Concorde,,0,22231,64580_1472760_1472826,2
23,1,388540,Saint-Nicolas - Village (arrêts limités),,1,22231,64583_1472932_1472957,2
